customer_id,usage_date,usage_level
C001,2024-12-17,low
C001,2024-12-31,low
C001,2025-01-14,high
C001,2025-01-21,high
C001,2025-01-28,low
C001,2025-02-04,high
C001,2025-02-18,medium
C001,2025-03-04,medium
C001,2025-03-11,low
C001,2025-03-25,low
C001,2025-04-08,medium
C001,2025-04-22,high
C001,2025-04-29,high
C001,2025-05-13,low
C001,2025-05-20,low
C001,2025-06-03,high
C001,2025-06-10,medium
C001,2025-06-17,high
C001,2025-07-01,low
C001,2025-07-08,low
C001,2025-07-22,medium
C001,2025-07-29,high
C001,2025-08-05,high
C001,2025-08-12,high
C001,2025-08-26,medium
C001,2025-09-09,low
C001,2025-09-16,medium
C001,2025-09-23,high
C001,2025-09-30,low
C001,2025-10-07,high
C001,2025-10-21,medium
C001,2025-11-04,high
C001,2025-11-18,low
C001,2025-11-25,low
C002,2025-04-19,high
C002,2025-05-03,high
C002,2025-05-10,medium
C002,2025-05-24,low
C002,2025-06-07,high
C002,2025-06-14,low
C002,2025-06-28,medium
C002,2025-07-12,medium
C002,2025-07-19,high
C003,2025-07-06,medium
C003,2025-07-13,high
C003,2025-07-27,low
C003,2025-08-10,medium
C003,2025-08-17,low
C003,2025-08-31,medium
C003,2025-09-07,high
C003,2025-09-21,high
C003,2025-09-28,low
C003,2025-10-05,medium
C003,2025-10-19,high
C003,2025-11-02,medium
C003,2025-11-09,high
C004,2025-06-12,medium
C004,2025-06-19,medium
C004,2025-06-26,medium
C004,2025-07-10,low
C004,2025-07-24,medium
C004,2025-08-07,high
C004,2025-08-14,medium
C004,2025-08-28,medium
C004,2025-09-04,high
C004,2025-09-11,high
C004,2025-09-25,high
C004,2025-10-09,medium
C004,2025-10-23,low
C004,2025-10-30,low
C004,2025-11-06,medium
C004,2025-11-20,low
C005,2025-02-25,low
C005,2025-03-04,high
C005,2025-03-18,high
C005,2025-03-25,high
C005,2025-04-01,medium
C005,2025-04-15,high
C005,2025-04-22,low
C005,2025-05-06,low
C005,2025-05-13,medium
C005,2025-05-27,low
C005,2025-06-03,low
C005,2025-06-17,high
C005,2025-06-24,high
C005,2025-07-08,low
C005,2025-07-15,low
C005,2025-07-29,low
C005,2025-08-12,medium
C005,2025-08-19,low
C005,2025-09-02,low
C005,2025-09-16,medium
C005,2025-09-23,low
C005,2025-09-30,low
C005,2025-10-14,medium
C005,2025-10-21,high
C005,2025-10-28,medium
C005,2025-11-04,high
C005,2025-11-18,medium
C005,2025-11-25,high
C006,2025-04-29,high
C006,2025-05-13,low
C006,2025-05-20,low
C006,2025-05-27,low
C006,2025-06-10,low
C006,2025-06-24,medium
