customer_id,status_date,status,churn_reason,event_type,event_id
C001,2024-12-17,active,,,2000
C002,2025-04-19,active,,,2001
C002,2025-07-20,churned,payment_failed,payment_failed,2002
C003,2025-07-06,active,,,2003
C003,2025-11-12,churned,voluntary,payment_failed,2004
C004,2025-06-12,active,,,2005
C005,2025-02-25,active,,,2006
C006,2025-04-29,active,,,2007
C007,2025-07-30,active,,,2008
C008,2025-07-30,active,,,2009
C008,2025-11-14,churned,voluntary,payment_failed,2010
C009,2025-03-12,active,,,2011
C009,2025-06-22,churned,payment_failed,support_ticket,2012
C010,2025-01-23,active,,,2013
C011,2025-05-08,active,,,2014
C012,2025-05-07,active,,,2015
C013,2025-03-24,active,,,2016
C014,2025-07-05,active,,,2017
C015,2025-01-04,active,,,2018
C015,2025-10-16,churned,payment_failed,support_ticket,2019
C016,2025-06-26,active,,,2020
C017,2025-04-06,active,,,2021
C018,2024-12-31,active,,,2022
C018,2025-07-18,churned,service_issue,support_ticket,2023
C019,2025-01-25,active,,,2024
C020,2024-12-07,active,,,2025
C020,2025-03-26,churned,voluntary,payment_failed,2026
C021,2025-02-04,active,,,2027
C021,2025-08-23,churned,voluntary,support_ticket,2028
C022,2025-01-27,active,,,2029
C023,2025-03-07,active,,,2030
C023,2025-11-06,churned,voluntary,payment_failed,2031
C024,2024-12-10,active,,,2032
C024,2025-04-17,churned,payment_failed,support_ticket,2033
C025,2025-06-18,active,,,2034
C026,2025-01-15,active,,,2035
C026,2025-05-15,churned,service_issue,payment_failed,2036
C027,2025-05-18,active,,,2037
C027,2025-09-22,churned,service_issue,payment_failed,2038
C028,2025-06-06,active,,,2039
C028,2025-09-15,churned,payment_failed,payment_failed,2040
C029,2025-02-27,active,,,2041
C030,2025-03-15,active,,,2042
C030,2025-11-25,churned,voluntary,payment_failed,2043
