customer_id,start_date,end_date,status,plan_name,current_mrr,billing_cycle,upgraded_plan,customer_tenure_days
C001,2024-12-17,,active,Basic,30,annual,FALSE,349
C002,2025-04-19,2025-07-20,churned,Enterprise,200,annual,FALSE,92
C003,2025-07-06,2025-11-12,churned,Pro,100,monthly,TRUE,129
C004,2025-06-12,,active,Enterprise,200,monthly,TRUE,172
C005,2025-02-25,,active,Enterprise,200,monthly,TRUE,279
C006,2025-04-29,,active,Pro,100,annual,FALSE,216
C007,2025-07-30,,active,Pro,100,annual,FALSE,124
C008,2025-07-30,2025-11-14,churned,Enterprise,200,annual,TRUE,107
C009,2025-03-12,2025-06-22,churned,Basic,30,annual,FALSE,102
C010,2025-01-23,,active,Pro,100,monthly,TRUE,312
C011,2025-05-08,,active,Basic,30,monthly,TRUE,207
C012,2025-05-07,,active,Pro,100,monthly,TRUE,208
C013,2025-03-24,,active,Basic,30,annual,TRUE,252
C014,2025-07-05,,active,Pro,100,annual,TRUE,149
C015,2025-01-04,2025-10-16,churned,Basic,30,annual,TRUE,285
C016,2025-06-26,,active,Basic,30,monthly,FALSE,158
C017,2025-04-06,,active,Pro,100,monthly,FALSE,239
C018,2024-12-31,2025-07-18,churned,Enterprise,200,annual,TRUE,199
C019,2025-01-25,,active,Basic,30,annual,TRUE,310
C020,2024-12-07,2025-03-26,churned,Enterprise,200,monthly,FALSE,109
C021,2025-02-04,2025-08-23,churned,Pro,100,annual,TRUE,200
C022,2025-01-27,,active,Basic,30,monthly,TRUE,308
C023,2025-03-07,2025-11-06,churned,Enterprise,200,monthly,FALSE,244
C024,2024-12-10,2025-04-17,churned,Pro,100,monthly,FALSE,128
C025,2025-06-18,,active,Basic,30,annual,FALSE,166
C026,2025-01-15,2025-05-15,churned,Enterprise,200,monthly,TRUE,120
C027,2025-05-18,2025-09-22,churned,Pro,100,annual,FALSE,127
C028,2025-06-06,2025-09-15,churned,Enterprise,200,annual,TRUE,101
C029,2025-02-27,,active,Enterprise,200,monthly,TRUE,277
C030,2025-03-15,2025-11-25,churned,Basic,30,monthly,FALSE,255
